date,Adj open,Adj close,,,open,close
2019-04-24,0.111793,0.103259,,1000,111.793,103.259
2019-04-23,0.1135,0.111824,,1000,113.5,111.824
2019-04-22,0.112438,0.113495,,1000,112.438,113.495
2019-04-21,0.115479,0.112404,,1000,115.479,112.404
2019-04-20,0.115827,0.115532,,1000,115.827,115.532
2019-04-19,0.117277,0.115737,,1000,117.277,115.737
2019-04-18,0.116655,0.117363,,1000,116.655,117.363
2019-04-17,0.117512,0.116636,,1000,117.512,116.636
2019-04-16,0.11364,0.117505,,1000,113.64,117.505
2019-04-15,0.116647,0.113629,,1000,116.647,113.629
2019-04-14,0.115918,0.116663,,1000,115.918,116.663
2019-04-13,0.114586,0.115898,,1000,114.586,115.898
2019-04-12,0.116747,0.114609,,1000,116.747,114.609
2019-04-11,0.125485,0.116685,,1000,125.485,116.685
2019-04-10,0.125362,0.125462,,1000,125.362,125.462
2019-04-09,0.132015,0.125384,,1000,132.015,125.384
2019-04-08,0.130495,0.131996,,1000,130.495,131.996
2019-04-07,0.124707,0.130303,,1000,124.707,130.303
2019-04-06,0.126378,0.124729,,1000,126.378,124.729
2019-04-05,0.11879,0.126367,,1000,118.79,126.367
2019-04-04,0.121314,0.118788,,1000,121.314,118.788
2019-04-03,0.121859,0.121339,,1000,121.859,121.339
2019-04-02,0.109628,0.121901,,1000,109.628,121.901
2019-04-01,0.107642,0.109615,,1000,107.642,109.615
2019-03-31,0.107423,0.107651,,1000,107.423,107.651
2019-03-30,0.107578,0.107359,,1000,107.578,107.359
2019-03-29,0.107416,0.107572,,1000,107.416,107.572
2019-03-28,0.108017,0.10744,,1000,108.017,107.44
2019-03-27,0.103381,0.108062,,1000,103.381,108.062
2019-03-26,0.102485,0.103379,,1000,102.485,103.379
2019-03-25,0.106107,0.102469,,1000,106.107,102.469
2019-03-24,0.107944,0.106012,,1000,107.944,106.012
2019-03-23,0.10852,0.108281,,1000,108.52,108.281
2019-03-22,0.107948,0.108693,,1000,107.948,108.693
2019-03-21,0.111505,0.107947,,1000,111.505,107.947
2019-03-20,0.113586,0.111403,,1000,113.586,111.403
2019-03-19,0.116198,0.113248,,1000,116.198,113.248
2019-03-18,0.109486,0.115914,,1000,109.486,115.914
2019-03-17,0.109584,0.109385,,1000,109.584,109.385
2019-03-16,0.107836,0.109619,,1000,107.836,109.619
2019-03-15,0.10721,0.107773,,1000,107.21,107.773
2019-03-14,0.108103,0.107272,,1000,108.103,107.272
2019-03-13,0.104512,0.108199,,1000,104.512,108.199
2019-03-12,0.102322,0.104598,,1000,102.322,104.598
2019-03-11,0.099865,0.102263,,1000,99.865,102.263
2019-03-10,0.090055,0.100039,,1000,90.055,100.039
2019-03-09,0.087038,0.089744,,1000,87.038,89.744
2019-03-08,0.085608,0.087246,,1000,85.608,87.246
2019-03-07,0.085534,0.085541,,1000,85.534,85.541
2019-03-06,0.086338,0.085566,,1000,86.338,85.566
2019-03-05,0.083504,0.086299,,1000,83.504,86.299
2019-03-04,0.086924,0.083539,,1000,86.924,83.539
2019-03-03,0.084303,0.087235,,1000,84.303,87.235
2019-03-02,0.085858,0.08446,,1000,85.858,84.46
2019-03-01,0.085505,0.085833,,1000,85.505,85.833
2019-02-28,0.086014,0.085503,,1000,86.014,85.503
2019-02-27,0.086928,0.086195,,1000,86.928,86.195
2019-02-26,0.08717,0.0868,,1000,87.17,86.8
2019-02-25,0.083897,0.087305,,1000,83.897,87.305
2019-02-24,0.094386,0.084234,,1000,94.386,84.234
2019-02-23,0.090721,0.094257,,1000,90.721,94.257
2019-02-22,0.088947,0.090668,,1000,88.947,90.668
2019-02-21,0.09179,0.089091,,1000,91.79,89.091
2019-02-20,0.090029,0.091735,,1000,90.029,91.735
2019-02-19,0.083816,0.089982,,1000,83.816,89.982
2019-02-18,0.079603,0.083691,,1000,79.603,83.691
2019-02-17,0.07841,0.079608,,1000,78.41,79.608
2019-02-16,0.079207,0.078421,,1000,79.207,78.421
2019-02-15,0.076665,0.079276,,1000,76.665,79.276
2019-02-14,0.076976,0.076635,,1000,76.976,76.635
2019-02-13,0.077661,0.07699,,1000,77.661,76.99
2019-02-12,0.077572,0.077616,,1000,77.572,77.616
2019-02-11,0.080657,0.077595,,1000,80.657,77.595
2019-02-10,0.080894,0.080393,,1000,80.894,80.393
